Name,Goals
Aaron Connolly ,5
Aaron Cresswell ,4
Aaron Lennon ,1
Aaron Mooy ,9
Aaron O'Driscoll ,0
Aaron Ramsdale ,0
Aaron Ramsey ,12
Aaron Rowe ,0
Aaron Tshibola ,0
Aaron Wan-Bissaka ,2
Abdelhamid Sabiri ,0
Abdoulaye Doucouré ,19
Abdul Rahman Baba ,0
Abel Hernández ,4
Aboubakar Kamara ,3
Achraf Lazaar ,0
Adalberto Peñaranda ,0
Adam Armstrong ,0
Adam Bogdan ,0
Adam Clayton ,0
Adam Federici ,0
Adam Forshaw ,0
Adam Idah ,0
Adam Lallana ,10
Adam Leathers ,0
Adam Legzdins ,0
Adam Lewis ,0
Adam Masina ,1
Adam Matthews ,0
Adam Parkes ,0
Adam Reach ,0
Adam Smith ,3
Adam Webster ,4
Adama Diakhaby ,0
Adama Diomande ,2
Adama Traoré ,4
Ademipo Odubeko ,0
Ademola Lookman ,5
Adlène Guédioura ,0
Admiral Muskwe ,0
Adnan Januzaj ,0
Adnan Maric ,0
Adrian Mariappa ,0
Adrien Silva ,0
Adrián ,0
Adrián Bernabé ,0
Ahmed El Mohamady ,1
Ahmed Hegazi ,2
Ahmed Musa ,2
Aiden McGeady ,0
Aiden O'Neill ,0
Ainsley Maitland-Niles ,1
Ajibola Alese ,0
Akin Famewo ,0
Akos Onodi ,0
Alan Hutton ,0
Albert Adomah ,0
Alberto Moreno ,0
Alberto Paloschi ,0
Albian Ajeti ,0
Aleix García ,0
Aleksandar Dragovic ,0
Aleksandar Kolarov ,1
Aleksandar Mitrovic ,15
Ales Mateju ,0
Alex Baptiste ,0
Alex Bruce ,0
Alex Cochrane ,0
Alex Denny ,0
Alex Iwobi ,11
Alex McCarthy ,0
Alex Oxlade-Chamberlain ,10
Alex Pike ,0
Alex Pritchard ,4
Alex Smithies ,0
Alex Telles ,0
Alexander Manninger ,0
Alexander Sørloth ,0
Alexander Tettey ,1
Alexandre Jankewitz ,0
Alexandre Lacazette ,50
Alexandre Song ,0
Alexis Mac Allister ,1
Alexis Sánchez ,33
Alfie Devine ,0
Alfie Mawson ,6
Alfie McCalmont ,0
Alfie Payne ,0
Alfie Whiteman ,0
Alfred N'Diaye ,1
Ali Gabr ,0
Ali Koiki ,0
Alireza Jahanbakhsh ,2
Alisson ,1
Allan ,0
Allan McGregor ,0
Allan Saint-Maximin ,6
Allan Tchaptchet ,0
Allan-Roméo Nyom ,0
Almen Abdi ,0
Alpha Richard Dionkou ,0
Alphonse Areola ,0
Amad Diallo ,0
Ander Herrera ,3
Anders Lindegaard ,0
Andi Janjeva ,0
Andi Zeqiri ,0
Andre Gray ,9
Andre Green ,0
Andre Olukanmi ,0
Andre Wisdom ,0
Andrea Ranocchia ,2
Andreas Christensen ,0
Andreas Pereira ,2
Andreas Söndergaard ,0
Andrew Crofts ,0
Andrew Eleftheriou ,0
Andrew Robertson ,5
Andrew Surman ,2
Andriy Yarmolenko ,7
Andros Townsend ,13
André Gomes ,1
André Schürrle ,6
André-Frank Zambo Anguissa ,0
Andy Carroll ,1
Andy Lonergan ,0
Angel Gomes ,0
Angel Rangel ,1
Angeliño ,0
Angelo Ogbonna ,7
Angus Gunn ,0
Anthony Driscoll-Glennon ,0
Anthony Elanga ,1
Anthony Georgiou ,0
Anthony Gordon ,0
Anthony Knockaert ,5
Anthony Mancini ,0
Anthony Martial ,44
Anthony Pilkington ,0
Anton Walkes ,0
Antonee Robinson ,0
Antonio Barragán ,0
Antonio Barreca ,0
Antonio Rüdiger ,6
Antwoine Hackford ,0
Anwar El Ghazi ,14
Archie Davies ,0
Archie Mair ,0
Arijanet Muric ,0
Arjan Raikhy ,0
Armand Traore ,0
Armando Broja ,0
Arnau Puigmal ,0
Arnaut Danjuma Groeneveld ,0
Aron Gunnarsson ,1
Arouna Koné ,0
Arthur Masuaku ,0
Arthur Okonkwo ,0
Artur Boruc ,0
Ashley Barnes ,36
Ashley Westwood ,7
Ashley Williams ,2
Ashley Young ,4
Asmir Begovic ,0
Aston Oxborough ,0
Austin Samuels ,0
Axel Tuanzebe ,0
Aymeric Laporte ,4
Ayoze Pérez ,10
Bacary Sagna ,0
Badou Ndiaye ,2
Bafétimbi Gomis ,0
Bailey Peacock-Farrell ,0
Baily Cargill ,0
Bakary Sako ,3
Barry Douglas ,0
Bartosz Kapustka ,0
Bastian Schweinsteiger ,0
Bayli Spencer-Adams ,0
Ben Barclay ,0
Ben Chilwell ,7
Ben Cottrell ,0
Ben Foster ,0
Ben Gibson ,1
Ben Godfrey ,0
Ben Hamer ,0
Ben Heneghan ,0
Ben Hinchcliffe ,0
Ben Marshall ,0
Ben Mee ,4
Ben Osborn ,1
Ben Sheaf ,0
Ben Stevenson ,0
Ben Watson ,0
Ben White ,0
Ben Whitfield ,0
Ben Wilmot ,0
Ben Winterbottom ,0
Ben Woodburn ,0
Ben Wynter ,0
Beni Baningime ,0
Benik Afobe ,6
Benjamin Chrisene ,0
Benjamín Garré ,0
Benny Ashley-Seal ,0
Beram Kayal ,1
Bernard ,5
Bernardo ,0
Bernardo Espinosa ,0
Bernardo Rosa ,0
Bernardo Silva ,21
Bernd Leno ,0
Bersant Celina ,0
Bertrand Traoré ,7
Billy Arce ,0
Billy Gilmour ,0
Billy Koumetio ,0
Billy O'Brien ,0
Billy Sharp ,6
Birkir Bjarnason ,0
Björn Engels ,1
Boaz Myhill ,0
Bobby De Cordova-Reid ,10
Bobby Duncan ,0
Bobby Thomas ,0
Bojan ,3
Bojan Radulovic Samoukovic ,0
Borja Bastón ,1
Brad Guzan ,0
Brad Jackson ,0
Brad Smith ,0
Brad Young ,0
Bradley Collins ,0
Brahim Díaz ,0
Brandon Austin ,0
Brandon Barker ,0
Brandon Cooper ,0
Brandon Fleming ,0
Brandon Goodship ,0
Brandon Mason ,0
Brandon Pierrick ,0
Brandon Williams ,0
Branislav Ivanovic ,0
Brede Hangeland ,0
Brendan Galloway ,0
Brennan Camp ,0
Brian Lenihan ,0
Brian Murphy ,0
Brice Dja Djédjé ,0
Bright Enobakhare ,0
Brooklyn Genesini ,0
Brooklyn Lyons-Foster ,0
Bruno ,0
Bruno Ecuele Manga ,0
Bruno Fernandes ,26
Bruno Jordão ,0
Bruno Martins Indi ,1
Bruno Zuculini ,0
Bryan Oviedo ,0
Bryce Hosannah ,0
Bukayo Saka ,6
Calaum Jahraldo-Martin ,0
Caleb Watts ,0
Callum Buckley ,0
Callum Connolly ,0
Callum Elder ,0
Callum Hudson-Odoi ,3
Callum McManaman ,0
Callum O'Hare ,0
Callum Paterson ,4
Callum Robinson ,1
Callum Rowe ,0
Callum Slattery ,0
Callum Wilson ,28
Callum Wright ,0
Calum Chambers ,5
Calvin Bassey ,0
Cameron Archer ,0
Cameron Borthwick-Jackson ,0
Cameron Brannagan ,0
Cameron Carter-Vickers ,0
Cameron Coxe ,0
Cameron Dummigan ,0
Cameron Humphreys-Grant ,0
Cameron John ,0
Caoimhin Kelleher ,0
Caolan Lavery ,0
Carl Ikeme ,0
Carl Jenkinson ,0
Carl Stewart ,0
Carlos Vinícius ,1
Carlos de Pena ,0
Carlton Morris ,0
Carney Chukwuemeka ,0
Cauley Woodrow ,0
Cengiz Ünder ,0
Cenk Tosun ,10
Cesc Fàbregas ,7
Chancel Mbemba ,0
Charalampos Mavrias ,0
Charlie Adam ,1
Charlie Austin ,15
Charlie Colkett ,0
Charlie Cresswell ,0
Charlie Daniels ,6
Charlie Gilmour ,0
Charlie Rowan ,0
Charly Musonda ,0
Che Adams ,13
Cheikh Diaby ,0
Cheikhou Kouyaté ,5
Chem Campbell ,0
Chicharito ,16
Chris Basham ,0
Chris Brunt ,3
Chris Löwe ,0
Chris Mepham ,1
Chris Smalling ,6
Chris Willock ,0
Chris Wood ,46
Christian Atsu ,3
Christian Benteke ,31
Christian Eriksen ,28
Christian Fuchs ,2
Christian Kabasele ,4
Christian Marques ,0
Christian Pulisic ,13
Christian Saydee ,0
Christian Walton ,0
Christoph Klarer ,0
Christoph Zimmermann ,0
Christopher Schindler ,1
Chuba Akpom ,0
Ciaran Clark ,6
Ciaron Brown ,0
Claudio Bravo ,0
Claudio Gomes ,0
Claudio Yacob ,0
Clinton N'Jie ,0
Cody Drameh ,0
Cohen Bramall ,0
Cole Palmer ,0
Collin Quaner ,0
Connor Barrett ,0
Connor Goldson ,0
Connor Mahoney ,0
Connor Randall ,0
Connor Ripley ,0
Connor Ronan ,0
Connor Wickham ,3
Conor Coady ,1
Conor Coventry ,0
Conor Gallagher ,2
Conor Hourihane ,4
Conor Masterson ,0
Conor McAleny ,0
Conor Shaughnessy ,0
Conor Washington ,0
Corey Jordan ,0
Costel Pantilimon ,0
Courtney Baker-Richardson ,0
Courtney Duffus ,0
Craig Bryson ,0
Craig Cathcart ,3
Craig Dawson ,7
Craig Gardner ,0
Cristhian Stuani ,4
Cristian Gamboa ,0
Cristián Cuevas ,0
Crysencio Summerville ,0
Cuco Martina ,0
Curtis Good ,0
Curtis Jones ,2
Cyrus Christie ,0
Cédric Kipré ,0
Cédric Soares ,2
César Azpilicueta ,7
D'Mani Mellor ,0
Dael Fry ,0
Dale Stephens ,1
Daley Blind ,1
Damien Delaney ,0
Damiá ,0
Dan Burn ,1
Dan Gosling ,9
Dane Scarlett ,0
Dani Ceballos ,0
Daniel Adshead ,0
Daniel Agyei ,0
Daniel Amartey ,2
Daniel Arzani ,0
Daniel Atherton ,0
Daniel Ayala ,1
Daniel Bachmann ,0
Daniel Barlaser ,0
Daniel Batty ,0
Daniel Cleary ,0
Daniel Drinkwater ,2
Daniel Grimshaw ,0
Daniel Gyollai ,0
Daniel Iversen ,0
Daniel Jarvis ,0
Daniel Jebbison ,1
Daniel Kemp ,0
Daniel Lafferty ,0
Daniel Langley ,0
Daniel N'Lundulu ,0
Daniel Oyegoke ,0
Daniel Podence ,4
Daniel Sturridge ,7
Danijel Nizic ,0
Danilo ,4
Danny Ballard ,0
Danny Batth ,0
Danny Drinkwater ,0
Danny Graham ,0
Danny Ings ,42
Danny Rose ,2
Danny Welbeck ,16
Dara O'Shea ,0
Darnell Furlong ,1
Darnell Johnson ,0
Darren Fletcher ,1
Darren Randolph ,0
Darron Gibson ,0
Daryl Janmaat ,5
David Brooks ,8
David Button ,0
David Faupala ,0
David Henen ,0
David Jones ,0
David Junior Hoilett ,3
David Luiz ,8
David Marshall ,0
David Martin ,0
David McGoldrick ,10
David Meyler ,1
David Nugent ,0
David Ospina ,0
David Parkhouse ,0
David Silva ,25
David de Gea ,0
Davide Zappacosta ,1
Davy Klaassen ,0
Davy Pröpper ,2
DeAndre Yedlin ,2
Dean Hammond ,0
Dean Marney ,4
Dean Whitehead ,0
Declan John ,0
Declan Rice ,5
Dejan Iliev ,0
Dejan Lovren ,5
Dele Alli ,40
Demarai Gray ,9
Demeaco Duhaney ,0
Demetri Mitchell ,0
Denis Odoi ,0
Denis Suárez ,0
Dennis Adeniran ,0
Dennis Cirkin ,0
Dennis Praet ,2
Dennis Srbeny ,1
Des Hutchinson ,0
Didier Ndong ,1
Diego Cavalieri ,0
Diego Costa ,20
Diego Llorente ,1
Diego Rico ,0
Dieudonne Mbokani Bezua ,0
Dilan Markanday ,0
Dimitri Foulquier ,0
Dimitri Payet ,2
Dimitrios Konstantopoulos ,0
Diogo Dalot ,0
Diogo Jota ,25
Dion Henry ,0
Dion Pereira ,0
Dion Sanderson ,0
Dionatan Teixeira ,0
Divock Origi ,14
Djair Parfitt-Williams ,0
Djibril Sidibé ,0
Dodi Lukébakio ,0
Domingos Quina ,1
Dominic Calvert-Lewin ,40
Dominic Revan ,0
Dominic Solanke ,4
Dominic Telford ,0
Dominic Thompson ,0
Donald Love ,0
Doneil Henry ,0
Donny van de Beek ,1
Donyell Malen ,0
Douglas Luiz ,3
Dujon Sterling ,0
Duncan Watmore ,0
Dusan Kuciak ,0
Dusan Tadic ,9
Dwight Gayle ,11
Dwight McNeil ,7
Dylan Levitt ,0
Dynel Simeu ,0
Eberechi Eze ,4
Eddie Nketiah ,5
Eden Hazard ,44
Ederson ,0
Edimilson Fernandes ,0
Edinson Cavani ,10
Eduardo ,0
Edward Rowe ,0
Eldin Jakupovic ,0
Elia Caprile ,0
Eliaquim Mangala ,0
Elias Kachunga ,1
Elias Sorensen ,0
Elijah Dixon-Bonner ,0
Elliot Anderson ,0
Elliot Embleton ,0
Elliot Watt ,0
Elliott Moore ,0
Ellis Simms ,0
Elvis Manu ,0
Emerson ,0
Emerson Hyndman ,0
Emil Krafth ,1
Emile Smith Rowe ,2
Emiliano Buendía ,1
Emiliano Martínez ,0
Emiliano Sala ,0
Emmanuel Adebayor ,0
Emmanuel Eboué ,0
Emmanuel Emenike ,0
Emmanuel Longelo ,0
Emmanuel Rivière ,0
Emre Can ,8
Enda Stevens ,2
Enner Valencia ,3
Erdal Rakip ,0
Eric Bailly ,1
Eric Dier ,5
Eric García ,0
Eric Maxim Choupo-Moting ,5
Erik Durm ,0
Erik Lamela ,10
Erik Palmer-Brown ,0
Erik Pieters ,0
Erwin Mulder ,0
Essaïd Belkalem ,0
Ethan Ampadu ,0
Ethan Ebanks-Landell ,0
Ethan Fitzhugh ,0
Ethan Galbraith ,0
Ethan Hamilton ,0
Ethan Laird ,0
Ethan Robson ,0
Etienne Capoue ,9
Eunan O'Kane ,0
Evandro ,0
Ezekiel Fryers ,0
Ezequiel Schelotto ,0
Ezgjan Alioski ,2
Ezri Konsa Ngoyo ,3
Fabian Delph ,2
Fabian Schär ,7
Fabinho ,3
Fabio ,0
Fabio Borini ,2
Fabio Carvalho ,1
Fabián Balbuena ,3
Fabri ,0
Facundo Pellistri ,0
Faustino Anjorin ,0
Federico Fazio ,0
Federico Fernández ,3
Felipe Anderson ,10
Felix Nmecha ,0
Felix Passlack ,0
Femi Seriki ,0
Fernandinho ,8
Fernando ,0
Fernando Llorente ,17
Ferran Torres ,7
Fikayo Tomori ,1
Filip Benkovic ,0
Filip Krovinovic ,0
Filip Lesniak ,0
Finn Azaz ,0
Florent Hadergjonaj ,0
Florian Lejeune ,2
Florin Andone ,4
Florin Gardos ,0
Floyd Ayité ,1
Flávio Cristóvão ,0
Folarin Balogun ,0
Fousseni Diabaté ,0
Francis Coquelin ,0
Franck Tabanou ,0
Frankie Ealing ,0
Fraser Forster ,0
Fraser Hornby ,0
Fred ,2
Freddie Ladapo ,0
Freddie Woodman ,0
Frederik Alves ,0
Fredrik Ulvestad ,0
Frédéric Gounongbe ,0
Frédéric Guilbert ,0
Fábio Silva ,4
Gabriel Jesus ,50
Gabriel Magalhães ,2
Gabriel Martinelli ,5
Gabriel Paulista ,0
Gaetano Berardi ,0
Gareth Bale ,11
Gareth Barry ,3
Gareth McAuley ,6
Gary Cahill ,7
Gary Madine ,0
Gastón Ramírez ,2
Gavin Bazunu ,0
Gavin Kilkenny ,0
Gaël Clichy ,1
Gaëtan Bong ,0
Gedion Zelalem ,0
Gedson Fernandes ,0
Geoff Cameron ,0
George Baldock ,2
George Boyd ,2
George Broadbent ,0
George Byers ,0
George Dobson ,0
George Friend ,0
George Glendon ,0
George Harmon ,0
George Hirst ,0
George Honeyman ,0
George Johnston ,0
George Lewis ,0
George Marsh ,0
George McEachran ,0
George Thomas ,0
Georges-Kévin Nkoudou ,0
Georginio Wijnaldum ,16
Gerard Deulofeu ,15
Gerhard Tremmel ,0
Gerónimo Rulli ,0
Giannelli Imbula ,0
Giedrius Arlauskis ,0
Giovani Lo Celso ,1
Giovanni McGregor ,0
Glen Johnson ,0
Glenn Murray ,26
Glenn Whelan ,0
Gonzalo Higuaín ,5
Gonçalo Cardoso ,0
Grady Diangana ,1
Granit Xhaka ,9
Grant Hanley ,0
Grant Leadbitter ,1
Graziano Pellè ,0
Greg Cunningham ,0
Greg Halford ,0
Greg Luer ,0
Greg Olley ,0
Grzegorz Krychowiak ,0
Guido Carrillo ,0
Guillermo Varela ,0
Gylfi Sigurdsson ,34
Gökhan Inler ,0
Gökhan Töre ,0
Hakim Ziyech ,2
Hal Robson-Kanu ,7
Hamza Choudhury ,1
Hannibal Mejbri ,0
Harrison Ashby ,0
Harrison Reed ,0
Harrison Sohna ,0
Harry Arter ,2
Harry Bunn ,0
Harry Burgoyne ,0
Harry Charsley ,0
Harry Kane ,53
Harry Lewis ,0
Harry Maguire ,10
Harry McKirdy ,0
Harry Souttar ,0
Harry Tyrer ,0
Harry Wilson ,0
Harry Winks ,2
Harvey Davies ,0
Harvey Elliott ,0
Harvey Rodgers ,0
Harvey Vale ,0
Hayden Lindley ,0
Haydon Roberts ,0
Henri Lansbury ,0
Henri Saivet ,1
Henrik Bjørdal ,0
Henrikh Mkhitaryan ,13
Henry Lawrence ,0
Henry Onyekuru ,0
Henry Wise ,0
Herbie Kane ,0
Heurelho Gomes ,0
Hiram Boateng ,0
Hugo Bueno ,0
Hugo Lloris ,0
Håvard Nordtveit ,0
Héctor Bellerín ,5
Hélder Costa ,4
Ian Maatsen ,0
Ian Poveda-Ocampo ,0
Ibrahim Afellay ,0
Ibrahim Amadou ,0
Ibrahim Meite ,0
Ibrahima Cissé ,0
Ibrahima Diallo ,0
Idrissa Gueye ,3
Ignacio Pussetto ,0
Ike Ugbo ,0
Ikechi Anya ,0
Iker Pozo ,0
Iliman Ndiaye ,0
Ilkay Gündogan ,28
Illan Meslier ,0
Indiana Vassilev ,0
Isaac Christie-Davies ,0
Isaac Hayden ,2
Isaac Mbenza ,1
Isaac Price ,0
Isaac Success ,2
Isaiah Brown ,0
Islam Slimani ,8
Ismael Bennacer ,0
Ismaila Coulibaly ,0
Ismaila Sarr ,5
Issa Diop ,6
Ivan Cavaleiro ,6
Ivo Pinto ,0
Jack Bearne ,0
Jack Bodenham ,0
Jack Butland ,0
Jack Bycroft ,0
Jack Colback ,0
Jack Cork ,3
Jack Fitzwater ,0
Jack Grealish ,14
Jack Harrison ,8
Jack Jenkins ,0
Jack O'Connell ,0
Jack Payne ,0
Jack Rodwell ,0
Jack Roles ,0
Jack Simpson ,0
Jack Spong ,0
Jack Stacey ,0
Jack Stephens ,0
Jack Wilshere ,1
Jacob Maddox ,0
Jacob Murphy ,2
Jacob Ramsey ,0
Jaden Philogene-Bidace ,0
Jadon Sancho ,0
Jairo Riedewald ,2
Jake Cain ,0
Jake Clarke-Salter ,0
Jake Doyle-Hayes ,0
Jake Eastwood ,0
Jake Flannigan ,0
Jake Hesketh ,0
Jake Livermore ,3
Jake Vokins ,0
Jake Walker ,0
Jakob Haugaard ,0
Jakub Moder ,0
Jakub Ojrzynski ,0
Jakub Stolarczyk ,0
Jamaal Lascelles ,6
Jamal Baptiste ,0
Jamal Blackman ,0
James Bree ,0
James Chester ,0
James Collins ,2
James Daly ,0
James Garner ,0
James Hillson ,0
James Horsfield ,0
James Husband ,0
James Justin ,2
James Maddison ,21
James McArthur ,13
James McCarthy ,0
James McClean ,2
James Milner ,14
James Morrison ,6
James Norris ,0
James Olayinka ,0
James Tarkowski ,6
James Tilley ,0
James Tomkins ,8
James Trafford ,0
James Ward-Prowse ,27
James Weir ,0
Jamie Bowden ,0
Jamie Cumming ,0
Jamie Murphy ,0
Jamie Shackleton ,0
Jamie Soule ,0
Jamie Sterry ,0
Jamie Vardy ,89
Jan Bednarek ,3
Jan Kirchhoff ,0
Jan Mlakar ,0
Jan Paul van Hecke ,0
Jan Vertonghen ,2
Jannik Vestergaard ,4
Japhet Tanganga ,0
Jared Thompson ,0
Jaroslaw Jach ,0
Jarrad Branthwaite ,0
Jarrod Bowen ,9
Jason Davidson ,0
Jason Denayer ,0
Jason Gilchrist ,0
Jason Lokilo ,0
Jason Puncheon ,0
Jason Steele ,0
Javier Manquillo ,1
Jay Fulton ,0
Jay Rodriguez ,21
Jay Stansfield ,0
Jay-Roy Grot ,0
Jayden Bennetts ,0
Jayden Bogle ,2
Jayden Harris ,0
Jayden Stockley ,0
Jayson Molumby ,0
Jazz Richards ,0
Jean Michael Seri ,1
Jean-Philippe Gbamin ,0
Jean-Philippe Mateta ,1
Jed Steer ,0
Jeff Hendrick ,11
Jeff Reine-Adélaïde ,0
Jefferson Lerma ,3
Jefferson Montero ,0
Jeffrey Schlupp ,9
Jensen Weir ,0
Jeremain Lens ,0
Jeremie Boga ,0
Jeremy Ngakia ,0
Jermain Defoe ,19
Jerome Opoku ,0
Jerome Sinclair ,0
Jesse Lingard ,23
Jesurun Rak-Sakyi ,0
Jesé ,1
Jesús Gámez ,0
Jesús Navas ,0
Jesús Vallejo ,0
Jetro Willems ,2
Jiang Guangtai ,0
Jimmy Dunne ,1
Jindrich Stanek ,0
Jiri Skalak ,0
Joachim Andersen ,1
Joe Allen ,8
Joe Bennett ,0
Joe Bryan ,1
Joe Gelhardt ,0
Joe Hart ,0
Joe Ledley ,1
Joe Lolley ,1
Joe Mason ,0
Joe Powell ,0
Joe Ralls ,0
Joe Riley ,0
Joe Rodon ,0
Joe Rothwell ,0
Joe Tupper ,0
Joe Williams ,0
Joel Asoro ,0
Joel Campbell ,0
Joel Ekstrand ,0
Joel Latibeaudiere ,0
Joel Lopez Salguero ,0
Joel Matip ,5
Joel Mumbongo ,0
Joel Pereira ,0
Joel Robles ,0
Joel Senior ,0
Joel Ward ,0
Joelinton ,6
Joey Barton ,1
John Egan ,2
John Fleck ,5
John Lundstram ,5
John McGinn ,6
John O'Shea ,0
John Obi Mikel ,0
John Ruddy ,0
John Stones ,4
John Terry ,1
John-Kymani Gordon ,0
Joleon Lescott ,0
Jon Dagur Thorsteinsson ,0
Jon Flanagan ,0
Jon Gorenc Stankovic ,1
Jonas Lössl ,0
Jonathan Bond ,0
Jonathan Calleri ,1
Jonathan De Bie ,0
Jonathan Dinzeyi ,0
Jonathan Hogg ,0
Jonathan Kodjia ,0
Jonathan Leko ,0
Jonathan Walters ,4
Jonathan Williams ,0
Jonathan Woodgate ,0
Jonjo Shelvey ,9
Jonjoe Kenny ,0
Jonny ,3
Jonny Evans ,8
Jonny Maddison ,0
Jordan Ayew ,19
Jordan Graham ,0
Jordan Green ,0
Jordan Henderson ,3
Jordan Holmes ,0
Jordan Hugill ,0
Jordan Lee ,0
Jordan Pickford ,0
Jordan Rhodes ,0
Jordan Rossiter ,0
Jordan Stevens ,0
Jordan Williams ,0
Jordan Zemura ,0
Jordi Amat ,0
Jordi Gómez ,0
Jordi Osei-Tutu ,0
Jordon Ibe ,3
Jordon Mutch ,0
Jordy Clasie ,1
Jordy Hiwula-Mayifuila ,0
Jorginho ,13
Jose Baxter ,0
Josef Yarney ,0
Joselu ,6
Joseph Anang ,0
Joseph Dodoo ,0
Joseph Gomez ,0
Joseph Hardy ,0
Joseph Hungbo ,0
Joseph Willock ,9
Josh Benson ,0
