Name,Goals
Josh Brownhill ,0
Josh Clackstone ,0
Josh Cullen ,0
Josh Dasilva ,0
Josh Felix-Eppiah ,0
Josh Harrop ,1
Josh Knight ,0
Josh Maja ,3
Josh Martin ,0
Josh Onomah ,0
Josh Pask ,0
Josh Robson ,0
Josh Sims ,0
Josh Tymon ,0
Josh Vickers ,0
Josh Wakefield ,0
Joshua Bohui ,0
Joshua King ,42
Josip Drmic ,1
José Enrique ,0
José Fonte ,0
José Holebas ,5
José Izquierdo ,5
José Manuel Jurado ,0
Jota ,0
Joy Mukena ,0
João Cancelo ,2
João Moutinho ,3
João Mário ,2
João Pedro ,0
João Teixeira ,0
João Virgínia ,0
Joël Veltman ,1
Juan Camilo Zuñiga ,1
Juan Carlos Paredes ,0
Juan Cuadrado ,0
Juan Familia-Castillo ,0
Juan Foyth ,1
Juan Iturbe ,0
Juan Mata ,13
Juanmi ,0
Jubril Okedina ,0
Julian Speroni ,0
Julien Ngoy ,0
Julien de Sart ,0
Julio Pleguezuelo ,0
Junior Stanislas ,17
Jérémy Pied ,0
Jóhann Gudmundsson ,9
Jürgen Locadia ,3
Kadeem Harris ,1
Kai Havertz ,4
Kaine Hayden ,0
Kalvin Phillips ,1
Kamil Grabara ,0
Kamil Grosicki ,0
Kamil Miazek ,0
Kane Crichlow ,0
Karl Darlow ,0
Karl Hein ,0
Karlan Grant ,4
Karlo Ziger ,0
Kasey Palmer ,0
Kasper Schmeichel ,0
Kaylen Hinds ,0
Kayne Ramsay ,0
Kazenga LuaLua ,0
Kean Bryan ,0
Keelan O'Connell ,0
Keinan Davis ,1
Kelechi Iheanacho ,25
Kelland Watts ,0
Kelvin Davis ,0
Ken Sema ,1
Kenedy ,3
Kenji Gorré ,0
Kenneth Zohore ,1
Kenny McLean ,1
Kenny Tete ,0
Kepa Arrizabalaga ,0
Kevin Danso ,0
Kevin De Bruyne ,35
Kevin Long ,1
Kevin McDonald ,0
Kevin Mirallas ,4
Kevin Stewart ,0
Kevin Wimmer ,0
Kgaogelo Chauke ,0
Ki Sung-Yueng ,2
Ki-Jana Hoever ,0
Kieran Dowell ,0
Kieran Gibbs ,0
Kieran O'Hara ,0
Kieran Tierney ,2
Kieran Trippier ,1
Kiernan Dewsbury-Hall ,0
Kieron Freeman ,0
Kiko Casilla ,0
Kiko Femenía ,2
Kleton Perntreou ,0
Kolo Touré ,0
Konstantinos Mavropanos ,0
Konstantinos Stafylidis ,0
Konstantinos Tsimikas ,0
Kornelius Normann Hansen ,0
Kortney Hause ,2
Kristoffer Nordfeldt ,0
Krystian Bielik ,0
Kurt Zouma ,8
Kyle Bartley ,3
Kyle Edwards ,0
Kyle Jameson ,0
Kyle John ,0
Kyle Naughton ,1
Kyle Scott ,0
Kyle Taylor ,0
Kyle Walker ,2
Kyle Walker-Peters ,0
Lamar Bogarde ,0
Largie Ramazani ,0
Lars Dendoncker ,0
Lasse Sørensen ,0
Laurens De Bock ,0
Laurent Depoitre ,6
Laurent Koscielny ,7
Layton Ndukwu ,0
Layton Stewart ,0
Lazar Markovic ,2
Leander Dendoncker ,6
Leandro Bacuna ,0
Leandro Rodríguez ,0
Leandro Trossard ,10
Lee Camp ,0
Lee Cattermole ,0
Lee Chung-Yong ,0
Lee Grant ,0
Lee Peltier ,0
Lee Tomlin ,0
Leighton Baines ,4
Leighton Clarkson ,0
Leo Ostigard ,0
Leon Balogun ,1
Leon Britton ,0
Leon Clarke ,0
Leon Osman ,0
Leonardo Campana ,0
Leonardo Ulloa ,2
Leroy Fer ,7
Leroy Sané ,25
Levi Lumeka ,0
Lewis Baker ,0
Lewis Banks ,0
Lewis Bate ,0
Lewis Cass ,0
Lewis Cook ,0
Lewis Dunk ,11
Lewis Grabban ,0
Lewis O'Brien ,0
Lewis Richardson ,0
Liam Bridcutt ,0
Liam Cooper ,1
Liam Delap ,0
Liam Feeney ,0
Liam Hughes ,0
Liam McCarron ,0
Liam Millar ,0
Liam Moore ,0
Liam Rosenior ,0
Lloyd Dyer ,0
Lloyd Humphries ,0
Lloyd Isgrove ,0
Lloyd Kelly ,0
Loris Karius ,0
Louie Barry ,0
Lovre Kalinic ,0
Loïc Damour ,0
Loïc Rémy ,0
Luca Ashby-Hammond ,0
Luca de la Torre ,0
Lucas Digne ,4
Lucas Leiva ,0
Lucas Moura ,17
Lucas Perri ,0
Lucas Piazon ,0
Lucas Pérez ,4
Lucas Torreira ,3
Luciano Narsingh ,1
Luciano Vietto ,1
Luis Alberto ,0
Luis Antonio Valencia ,3
Luis Longstaff ,0
Luka Milivojevic ,28
Lukas Jensen ,0
Lukas Jutkiewicz ,0
Lukas Nmecha ,0
Lukas Rupp ,0
Lukasz Fabianski ,0
Luke Amos ,0
Luke Ayling ,0
Luke Bolton ,0
Luke Coddington ,0
Luke Croll ,0
Luke Cundle ,0
Luke Dreher ,0
Luke Freeman ,0
Luke Garbutt ,0
Luke Matheson ,0
Luke Mbete ,0
Luke McCormick ,0
Luke McGee ,0
Luke Shaw ,2
Lynden Gooch ,0
Lys Mousset ,9
Léo Bonatini ,0
M'Baye Niang ,2
MJ Williams ,0
Maarten Stekelenburg ,0
Mace Goodridge ,0
Magnus Norman ,0
Malachi Fagan-Walcott ,0
Malang Sarr ,0
Mamadou Dialla Sylla ,0
Mamadou Sakho ,1
Mame Biram Diouf ,7
Manolo Gabbiadini ,10
Manu García ,0
Manuel Lanzini ,15
Marc Albrighton ,7
Marc Bola ,0
Marc Guehi ,0
Marc Muniesa ,1
Marc Navarro ,0
Marc Pugh ,2
Marc Wilson ,0
Marcel Franke ,0
Marcel Lavinier ,0
Marcelo Djaló ,0
Marcin Bulka ,0
Marcin Wasilewski ,0
Marco Amelia ,0
Marco Stiepermann ,0
Marco van Ginkel ,0
Marcos Alonso ,21
Marcos Rojo ,1
Marcus Bettinelli ,0
Marcus Browne ,0
Marcus McGuane ,0
Marcus Rashford ,50
Marek Rodák ,0
Mario Balotelli ,0
Mario Lemina ,3
Mario Pasalic ,0
Mario Suárez ,0
Mario Vrancic ,1
Mark Birighitti ,0
Mark Bunn ,0
Mark Gillespie ,0
Mark Hudson ,0
Mark McGuinness ,0
Mark Noble ,16
Mark Schwarzer ,0
Mark Travers ,0
Mark Waddington ,0
Marko Arnautovic ,27
Marko Grujic ,0
Markus Henriksen ,0
Markus Suttner ,0
Marlon Fossey ,0
Marlos Moreno ,0
Marouane Chamakh ,0
Marouane Fellaini ,5
Martell Taylor-Crossdale ,0
Marten de Roon ,4
Martin Cranie ,0
Martin Dubravka ,0
Martin Dúbravka ,0
Martin Kelly ,0
Martin Olsson ,2
Martin Samuelsen ,0
Martin Skrtel ,0
Martin Ødegaard ,1
Martín Cáceres ,0
Martín Demichelis ,0
Martín Montoya ,0
Marvelous Nakamba ,0
Marvin Emnes ,0
Marvin Zeegelaar ,0
Marçal ,0
Mason Barrett ,0
Mason Bloomfield ,0
Mason Greenwood ,10
Mason Holgate ,1
Mason Mount ,13
Massadio Haidara ,0
Mat Ryan ,0
Matej Kovar ,0
Matej Vydra ,6
Mateo Kovacic ,1
Mateusz Bogusz ,0
Mateusz Hewelt ,0
Mateusz Klich ,4
Matheus Pereira ,11
Mathias Normann ,0
Mathieu Debuchy ,0
Mathieu Flamini ,0
Matija Sarkic ,0
Matt Butcher ,0
Matt Doherty ,8
Matt Grimes ,0
Matt Macey ,0
Matt Miazga ,0
Matt O'Riley ,0
Matt Ritchie ,7
Matt Targett ,2
Matteo Darmian ,0
Matteo Guendouzi ,0
Matthew Cash ,0
Matthew Clarke ,0
Matthew Gilks ,0
Matthew Kennedy ,0
Matthew Longstaff ,2
Matthew Lowton ,1
Matthew Pennington ,1
Matthew Smith ,0
Matthew Taylor ,0
Matthew Worthington ,0
Mattias Kait ,0
Matty James ,0
Matz Sels ,0
Mauro Zárate ,0
Max Aarons ,0
Max Lowe ,0
Max Melbourne ,0
Max Meyer ,1
Max Sanders ,0
Max Stryjek ,0
Max Thompson ,0
Max-Alain Gradel ,0
Maxime Le Marchand ,0
Maximilian Kilman ,0
Maya Yoshida ,3
Mbaye Diagne ,3
Mbwana Samatta ,1
Melvin Sitti ,0
Memphis Depay ,0
Meritan Shabani ,0
Mesut Özil ,18
Michael Agazzi ,0
Michael Carrick ,0
Michael Collins ,0
Michael Dawson ,3
Michael Duff ,0
Michael Folivi ,0
Michael Hector ,0
Michael Hefele ,0
Michael Keane ,8
Michael Kightly ,0
Michael Ledger ,0
Michael McGovern ,0
Michael Obafemi ,4
Michael Phillips ,0
Michael Stensgaard ,0
Michael Tait ,0
Michael Verrips ,0
Michail Antonio ,38
Michal Karbownik ,0
Michal Zyro ,0
Michel Vorm ,0
Michy Batshuayi ,15
Miguel Almirón ,8
Miguel Azeez ,0
Miguel Britos ,2
Mihai-Alexandru Dobre ,0
Mika ,0
Mikael Mandron ,0
Mikael Ndjoli ,0
Mike van der Hoorn ,2
Mikel Arteta ,0
Mikel Merino ,1
Mile Jedinak ,0
Mitchell Clark ,0
Mix Diskerud ,0
Modou Barrow ,0
Moha ,0
Mohamed Diamé ,2
Mohamed Elneny ,1
Mohamed Elyounoussi ,0
Mohamed Salah ,95
Mohammed Salisu ,0
Moise Kean ,2
Moisés Caicedo ,0
Molla Wagué ,1
Morgan Boyes ,0
Morgan Feeney ,0
Morgan Gibbs-White ,1
Morgan Sanson ,0
Morgan Schneiderlin ,1
Moritz Bauer ,0
Moritz Jenz ,0
Moritz Leitner ,0
Moses Makasi ,0
Moses Odubajo ,0
Mouez Hassen ,0
Mousa Dembélé ,1
Moussa Djenepo ,3
Moussa Sissoko ,3
Muhamed Besic ,0
Mungo Bridge ,0
Mustapha Carayol ,0
Myles Peart-Harris ,0
N'Golo Kanté ,9
Nabil Bentaleb ,0
Nabili Zoubdi Touaizi ,0
Naby Keita ,4
Naby Keïta ,0
Nacer Chadli ,22
Nacho Monreal ,6
Nahki Wells ,0
Nampalys Mendy ,0
Nathan ,0
Nathan Aké ,12
Nathan Baxter ,0
Nathan Bishop ,0
Nathan Broadhead ,0
Nathan Dyer ,0
Nathan Ferguson ,0
Nathan Harker ,0
Nathan Holland ,0
Nathan Redmond ,20
Nathan Tella ,1
Nathan Trott ,0
Nathanael Ogbeta ,0
Nathaniel Chalobah ,0
Nathaniel Clyne ,0
Nathaniel Mendez-Laing ,4
Nathaniel Phillips ,0
Nathaniel Shio Hong Wan ,0
Neal Maupay ,18
Neco Williams ,0
Neeskens Kebano ,0
Neil Etheridge ,0
Neil Taylor ,0
Nemanja Matic ,3
Niall Ennis ,0
Niall Huggins ,0
Nick Pope ,0
Nick Powell ,0
Nicolas Pépé ,15
Nicolás Otamendi ,7
Niels Nkounkou ,0
Nigel Lonwijk ,0
Niki Mäenpää ,0
Nikola Tavares ,0
Nikola Vlasic ,0
Nnamdi Ofoborh ,0
Nolito ,4
Noor Husin ,0
Nordin Amrabat ,0
Nsue ,0
Ntumba Massanka ,0
Nya Kirby ,0
Nélson Oliveira ,0
Nélson Semedo ,1
Obbi Oularé ,0
Odion Ighalo ,1
Okay Yokuslu ,0
Ola Aina ,2
Oladapo Afolayan ,0
Olarenwaju Kayode ,0
Oleksandr Zinchenko ,0
Oliver Burke ,1
Oliver Casey ,0
Oliver McBurnie ,7
Oliver Norwood ,1
Oliver Shenton ,0
Oliver Skipp ,0
Olivier Giroud ,33
Oliwer Zych ,0
Ollie Harfield ,0
Ollie Watkins ,14
Oludare Olufunwa ,0
Olufela Olomola ,0
Omar Bogle ,0
Omar Elabdellaoui ,0
Ondrej Duda ,0
Onel Hernández ,1
Orestis Karnezis ,0
Oriol Romeu ,4
Oscar ,0
Oskar Buur ,0
Oumar Niasse ,12
Ovie Ejaria ,0
Owen Bailey ,0
Owen Otasowie ,0
Ozan Kabak ,0
Pablo Fornals ,7
Pablo Hernández ,0
Pablo Maffeo ,0
Pablo Marí ,0
Pablo Moreno ,0
Pablo Zabaleta ,1
Paddy McCarthy ,0
Panagiotis Retsos ,0
Pape Souaré ,0
Papy Djilobodji ,0
Paris Maghoma ,0
Pascal Groß ,15
Pascal Struijk ,1
Patrice Evra ,0
Patrick Bamford ,18
Patrick Cutrone ,2
Patrick McNair ,0
Patrick Roberts ,0
Patrick van Aanholt ,16
Pau López ,0
Paul Coutts ,0
Paul Dummett ,1
Paul Gladon ,0
Paul Glatzel ,0
Paul Pogba ,28
Paul Robinson ,0
Paulo Alves ,0
Paulo Gazzaniga ,0
Pedro ,22
Pedro Chirivella ,0
Pedro Neto ,8
Pedro Obiang ,3
Pedro Pereira ,0
Pedro Porro ,0
Pepe Reina ,0
Per Mertesacker ,1
Percy Tau ,0
Peter Crouch ,12
Peter Gwargis ,0
Peter Keen ,0
Peter Odemwingie ,0
Petr Cech ,0
Phil Bardsley ,0
Phil Foden ,15
Phil Jagielka ,4
Phil Ofosu-Ayeh ,0
Philip Billing ,3
Philip Heise ,0
Philipp Wollscheid ,0
Philippe Coutinho ,20
Philippe Sandler ,0
Pierre-Emerick Aubameyang ,64
Pierre-Emile Højbjerg ,6
Pontus Dahlberg ,0
Pote ,0
Prince Oniangué ,0
Rabbi Matondo ,0
Rachid Ghezzal ,1
Rafa Mir ,0
Rafael Camacho ,0
Ragnar Klavan ,1
Raheem Sterling ,17
Rajiv van La Parra ,3
Ralf Fährmann ,0
Ramadan Sobhi ,2
Ramiro Funes Mori ,0
Raphael Spiegel ,0
Raphinha ,6
Rarmani Edmonds-Green ,0
Ravel Morrison ,0
Rayan Aït-Nouri ,1
Rayhaan Tulloch ,0
Raúl Jiménez ,13
Reda Khadra ,0
Reece Burke ,0
Reece Hannam ,0
Reece James ,1
Reece Oxford ,0
Reece Welch ,0
Rees Greenwood ,0
Regan Booty ,0
Regan Poole ,0
Regan Slater ,0
Reiss Nelson ,1
Rekeem Harper ,0
Renat Dadashov ,0
Renato Sanches ,0
Rene Gilmartin ,0
Rhian Brewster ,0
Rhoys Wiggins ,0
Rhys Healey ,0
Rhys Norrington-Davies ,0
Rhys Williams ,0
Ricardo Pereira ,5
Richairo Zivkovic ,0
Richard Nartey ,0
Richard Stearman ,0
Richard Towell ,0
Richard Wright ,0
Richarlison ,38
Rickie Lambert ,0
Ricky Holmes ,0
Ritchie de Laet ,0
Riyad Mahrez ,45
Rob Holding ,0
Rob Hunt ,0
Robbie Brady ,4
Robbie Burton ,0
Robbie Gotts ,0
Robert Elliot ,0
Robert Green ,0
Robert Huth ,2
Robert Snodgrass ,14
Robert Sánchez ,0
Roberto Firmino ,56
Roberto Jiménez ,0
Roberto Pereyra ,16
Robin Koch ,0
Robin Olsen ,0
Rocky Bushiri Kisonga ,0
Roderick Miranda ,0
Rodri ,2
Rodrigo ,10
Rohan Ince ,0
Rolando Aarons ,0
Romain Saïss ,7
Romaine Sawyers ,0
Romaric Yapi ,0
Romelu Lukaku ,53
Ron-Robert Zieler ,0
Roque Mesa ,0
Rory Watson ,0
Ross Barkley ,12
Ross McCormack ,0
Rouwen Hennings ,0
Ruben Loftus-Cheek ,9
Rubén Sobrino ,0
Rudy Gestede ,1
Rui Fonte ,0
Rui Patrício ,0
Rushian Marcus Amari Hepburn-Murphy ,0
Russell Griffiths ,0
Ryan Allsop ,0
Ryan Astley ,0
Ryan Babel ,5
Ryan Bennett ,0
Ryan Bertrand ,4
Ryan Edmondson ,0
Ryan Finnigan ,0
Ryan Fraser ,16
Ryan Fredericks ,2
Ryan Giles ,0
Ryan Hill ,0
Ryan Inniss ,0
Ryan Kent ,0
Ryan Longman ,0
Ryan Mason ,1
Ryan Schofield ,0
Ryan Sessegnon ,2
Ryan Shawcross ,2
Ryan Sweeney ,0
Rúben Dias ,1
Rúben Neves ,11
Rúben Vinagre ,0
Rúnar Alex Rúnarsson ,0
Sadio Mané ,74
Saido Berahino ,0
Salomón Rondón ,26
Sam Baldock ,0
Sam Byram ,0
Sam Clucas ,6
Sam Dalby ,0
Sam Field ,1
Sam Gallagher ,0
Sam Graham ,0
Sam Greenwood ,0
Sam Hart ,0
Sam Howes ,0
Sam Hughes ,0
Sam Johnstone ,0
Sam McCallum ,0
Sam McQueen ,0
Sam Sherring ,0
Sam Surridge ,0
Sam Vokes ,17
Sam Woods ,0
Samir Carruthers ,0
Samir Nasri ,0
Samuel Sharrock-Peplow ,0
Samuel Shashoua ,0
Sander Berge ,2
Sandro Ramírez ,0
Santi Cazorla ,2
Santiago Vergini ,0
Saul Shotton ,0
Saïd Benrahma ,1
Scott Arfield ,3
Scott Banks ,0
Scott Carson ,0
Scott Dann ,5
Scott Hogan ,0
Scott Malone ,0
Scott McTominay ,10
Sead Haksabanovic ,0
Sead Kolasinac ,2
Sean Goss ,0
Sean Longstaff ,2
Sean Morrison ,1
Sean Raggett ,0
Sean Scannell ,0
Sebastian Larsson ,0
Sebastian Prödl ,1
Sebastián Coates ,0
Semi Ajayi ,2
Sepp van den Berg ,0
Serge Aurier ,5
Serge Gnabry ,0
Sergi Canós ,0
Sergio Agüero ,82
Sergio Reguilón ,0
Sergio Romero ,0
Shamal George ,0
Shane Duffy ,6
Shane Flynn ,0
Shani Tarashaj ,0
Shaun Hobson ,0
Shaun MacDonald ,0
Shaun Maloney ,1
Shay Given ,0
Shayne Lavery ,0
Shayon Harrison ,0
Sheyi Ojo ,0
Shilow Tracey ,0
Shinji Okazaki ,9
Shkodran Mustafi ,7
Shola Shoretire ,0
Sidnei Tavares ,0
Siem de Jong ,0
Sil Swinkels ,0
Simon Francis ,0
Simon Mignolet ,0
Simon Moore ,0
Simone Zaza ,0
Slobodan Tedic ,0
Sofiane Boufal ,3
Sofiane Feghouli ,3
Sokratis ,3
Sokratis Papastathopoulos ,0
Sol Bamba ,4
Solly March ,4
Son Heung-Min ,66
Soufyan Ahannach ,0
Stefan Johansen ,0
Stefan O'Connor ,0
Stefano Okaka ,5
Stephan Lichtsteiner ,0
Stephen Duke-McKenna ,0
Stephen Henderson ,0
Stephen Hendrie ,0
Stephen Ireland ,0
Stephen Kingsley ,0
Stephen Ward ,2
Stephy Mavididi ,0
Steve Cook ,6
Steve Harper ,0
Steve Mandanda ,0
Steve Mounie ,9
Steve Sidwell ,0
Steven Alzate ,1
Steven Berghuis ,0
Steven Bergwijn ,4
Steven Davis ,3
Steven Defour ,2
Steven Fletcher ,0
Steven Pienaar ,0
Steven Sessegnon ,0
Stewart Downing ,1
Stuart Armstrong ,9
Stuart Dallas ,8
Stuart Findlay ,0
Stuart O'Keefe ,0
Stuart Taylor ,0
Stéphane Sessegnon ,0
Sullay Kaikai ,0
Sven Kums ,0
Sylvain Boris Nabil Deslandes ,0
Sylvain Distin ,0
Sylvester Jasper ,0
Séamus Coleman ,6
Sébastien Haller ,10
Sébastien Pocognoli ,0
Tahith Chong ,0
Taiwo Awoniyi ,0
Takumi Minamino ,3
Tammy Abraham ,26
Tanguy Ndombele ,5
Tareiq Holmes-Dennis ,0
Tariq Lamptey ,1
Tashan Oakley-Boothe ,0
Tawanda Maswanhise ,0
Taye Ashby-Hammond ,0
Taylor Gardner-Hickman ,0
Taylor Harwood-Bellis ,0
Taylor Jay-Hart ,0
Taylor Perry ,0
Taylor Richards ,0
Tayo Edun ,0
Teddy Jenks ,0
Teden Mengi ,0
Teemu Pukki ,11
Tendayi Darikwa ,0
Terell Pennant ,0
Terence Kongolo ,1
Thakgalo Leshabela ,0
Thanawat Suengchitthawon ,0
Theo Corbeanu ,0
Theo Walcott ,23
Thiago ,1
Thiago Silva ,2
Thibaud Verlinden ,0
Thibaut Courtois ,0
Thierry Small ,0
Thomas Clayton ,0
Thomas Edwards ,0
Thomas Hill ,0
Thomas McGill ,0
Thomas O'Connor ,0
Thomas Partey ,0
Thomas Robson ,0
Tiago Ilori ,0
Tiemoué Bakayoko ,2
Tim Howard ,0
Tim Iroegbunam ,0
Tim Krul ,0
Tim Ream ,0
Timi Odusina ,0
Timm Klose ,0
Timo Werner ,6
Timothy Castagne ,2
Timothy Eyoma ,0
Timothy Fosu-Mensah ,0
Toby Alderweireld ,4
Todd Cantwell ,6
Tokelo Rantie ,0
Tolaji Bola ,0
Tom Anderson ,0
Tom Beadling ,0
Tom Cadman ,0
Tom Cairney ,2
Tom Carroll ,1
Tom Cleverley ,3
Tom Davies ,4
Tom Dele-Bashiru ,0
Tom Heaton ,0
Tom Huddlestone ,1
Tom Lawrence ,0
Tom Trybull ,0
Tomas Kalas ,0
Tomas Rosicky ,0
Tomas Soucek ,13
Tomer Hemed ,2
Tommie Hoban ,0
Tommy Doyle ,0
Tommy Elphick ,0
Tomás Mejías ,0
Toni Correia Gomes ,0
Toni Martínez ,0
Tony Gallacher ,0
Tony Hibbert ,0
Tosin Adarabioyo ,0
Trent Alexander-Arnold ,8
Trevoh Chalobah ,0
Troy Deeney ,34
Troy Parrott ,0
Trézéguet ,8
Tudor Baluta ,0
Tyler Onyango ,0
Tyler Smith ,0
Tyreece John-Jules ,0
Tyrell Warren ,0
Tyrese Francois ,0
Tyrick Mitchell ,1
Tyrone Mings ,4
Ulrick Eneme Ella ,0
Uwe Hünemeier ,0
Valentino Lazaro ,1
Valentino Livramento ,0
Valon Behrami ,0
Vashon Neufville ,0
Vicente Guaita ,0
Vicente Iborra ,3
Victor Anichebe ,3
Victor Lindelöf ,3
Victor Moses ,6
Victor Wanyama ,6
Viktor Fischer ,0
Viktor Gyökeres ,0
Viktor Johansson ,0
Vincent Janssen ,2
Vincent Kompany ,5
Virgil van Dijk ,11
Vitezslav Jaros ,0
Vitinha ,0
Vito Mannone ,0
Vlad Dragomir ,0
Vladimir Coufal ,0
Vontae Daley-Campbell ,0
Vurnon Anita ,0
Víctor Camarasa ,5
Víctor Valdés ,0
Wahbi Khazri ,1
Wanya Madavidua ,0
Warren O'Hora ,0
Wayne Hennessey ,0
Wayne Rooney ,15
Wayne Routledge ,3
Wes Foderingham ,0
Wes Morgan ,4
Wesley ,5
Wesley Fofana ,0
Wesley Hoedt ,0
Wilfred Ndidi ,7
Wilfried Bony ,4
Wilfried Zaha ,41
Will Collar ,0
Will Ferry ,0
Will Hughes ,1
Will Miller ,0
Will Norris ,0
Will Russ ,0
William Dennis ,0
William Fish ,0
William John Mannion ,0
William Osula ,0
William Saliba ,0
William Smallbone ,0
Willian ,27
Willian José ,1
Willy Boly ,5
Willy Caballero ,0
Winston Reid ,2
Wojciech Szczesny ,0
Xande Silva ,0
Xherdan Shaqiri ,19
Yan Valery ,2
Yanic Wildschut ,0
Yann M'Vila ,0
Yannick Bolasie ,13
Yasin Ben El-Mhanni ,0
Yasser Larouci ,0
Yaya Sanogo ,0
Yaya Touré ,5
Yerry Mina ,5
Yoan Gouffran ,0
Yohan Benalouane ,0
Yohan Cabaye ,4
Yoshinori Muto ,1
Younes Kaboul ,2
Youri Tielemans ,12
Yves Bissouma ,2
Zachary Dearnley ,0
Zack Steffen ,0
Zak Brunt ,0
Zan-Luk Leban ,0
Zanka ,3
Zech Medley ,0
Zhang Yuning ,0
Zlatan Ibrahimovic ,17
Álvaro Arbeloa ,0
Álvaro Morata ,16
Álvaro Negredo ,9
Çaglar Söyüncü ,2
Éder ,0
Édouard Mendy ,0
Ørjan Nyland ,0
